Property Type,Property Subtype,Region,City,CP,Agency Name,Agency Email,Agency Phone,Type de vente,Price,Nombre de façades,Nombre de chambres,Nombre de salles de bain,Nombre de douches,Nombre de toilettes,Nombre de pièces,Nombre de parking intérieurs,Nombre de parking extérieurs,Type de cuisine,État du bâtiment,Surface habitable,Surface jardin,Surface totale,Basement,Dressing,Dining Room,Meublé,Cheminée,Balcon,Terrasse,Jardin,Piscine
HOUSE,HOUSE,Flandres,Knokke-Heist,8300,Knokke Real Estate,200358@secure.fortissimmo.net,+32 50 64 10 10,BUY_REGULAR,1785000,3,4,3,0,,16,,3,HYPER_EQUIPPED,,188,,600,0,0,0,0,0,0,0,0,0
APARTMENT,PENTHOUSE,Flandres,DILSEN,3650,Immobilien Janssen Maasbrug,janssennv-q4mz3ve@omniwebsites.be,+32 89 56 06 91,BUY_REGULAR,396071,,2,1,0,1,,,,INSTALLED,,112,,,1,0,0,0,1,0,1,0,0
HOUSE,HOUSE,Wallonie,Ramillies Huppaye,1367,Property 4U,storage7967_623@importfrommedia.be,,BUY_REGULAR,445000,4,4,2,2,3,,,2,USA_HYPER_EQUIPPED,AS_NEW,165,,1300,0,0,0,0,0,0,1,0,0
HOUSE,HOUSE,Flandres,Hoeilaart,1560,We Invest Overijse,storage4563_284@importfrommedia.be,+32 2 455 20 35,BUY_REGULAR,595000,3,4,1,1,2,,1,2,USA_HYPER_EQUIPPED,GOOD,203,957,1127,1,0,0,0,0,0,1,1,1
HOUSE,HOUSE,Flandres,Geraardsbergen,9500,Immo Marc Bvba,immo.marc@contactme.skarabee.com,+32 54 32 65 50,BUY_REGULAR,335000,3,3,1,0,2,,,,INSTALLED,AS_NEW,176,,1108,0,0,0,0,0,0,0,0,0
HOUSE,MIXED_USE_BUILDING,Flandres,Alost,9300,ImmoTijl Aalst,immotijl_herdersem_tehuur@importfrommedia.be,+32 53 42 46 99,BUY_REGULAR,399000,2,0,,0,,,,,,GOOD,250,,185,0,0,0,0,0,0,0,0,0
HOUSE,APARTMENT_BLOCK,Flandres,Wetteren,9230,Immo Zone,immo-zone@omniwebsites.be,+32 9 231 75 92,BUY_REGULAR,480000,,3,,0,,,,,,,275,,130,1,0,0,0,1,0,1,0,0
HOUSE,HOUSE,Flandres,Kapellen,2950,Hans immo.,hansimmo-wr5pzi@omniwebsites.be,+32 3 290 30 30,BUY_REGULAR,309000,3,2,1,0,2,,,4,INSTALLED,GOOD,144,80,270,1,0,0,0,1,0,1,1,0
APARTMENT,APARTMENT,Flandres,Bachte-Maria-Leerne,9800,Landbergh,199809@secure.fortissimmo.net,+32 9 225 25 24,BUY_REGULAR,298000,,1,1,0,1,9,,,INSTALLED,GOOD,88,,,0,0,1,0,0,0,1,0,0
APARTMENT,APARTMENT,Bruxelles,Auderghem,1160,Property Lab,storage5237_500@importfrommedia.be,+32 2 537 47 38,BUY_REGULAR,295000,2,2,1,0,1,,,1,HYPER_EQUIPPED,GOOD,78,,,1,0,0,0,0,0,0,0,0
HOUSE,HOUSE,Bruxelles,Bruxelles,1120,CENTURY 21 Best House,storage8511_136@importfrommedia.be,+32 2 268 21 50,BUY_REGULAR,449000,2,3,1,0,2,,1,,USA_INSTALLED,AS_NEW,140,240,290,0,0,0,0,0,0,1,1,0
HOUSE,APARTMENT_BLOCK,Wallonie,Arlon,6700,Honesty Arlon -  7  bureaux proches de chez vous,honesty_arlon@importfrommedia.be,,BUY_REGULAR,550000,3,5,2,2,3,,2,1,USA_INSTALLED,GOOD,300,100,398,1,0,0,0,0,0,0,1,0
HOUSE,HOUSE,Flandres,Brugge,8000,Immo la clé,info@immolacle.be,+32 50 39 39 36,BUY_REGULAR,545000,,3,,0,,,,,HYPER_EQUIPPED,GOOD,,,410,0,0,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Flandres,Melle,9090,Infinimo,infinimo@omniwebsites.be,+32 9 383 06 76,BUY_REGULAR,395000,4,2,1,0,2,,,1,INSTALLED,,110,,,1,0,0,0,1,0,1,1,0
